Genotype,Location,Year,Rep,Adjusted Yield
SB085,UNZA,2017,1,863.5416667
SB085,UNZA,2017,2,1593.958333
SB085,UNZA,2017,3,1228.75
SB086,UNZA,2017,1,950.7916667
SB086,UNZA,2017,2,1390.083333
SB086,UNZA,2017,3,1170.458333
SB087,UNZA,2017,1,1346.166667
SB087,UNZA,2017,2,700.7916667
SB087,UNZA,2017,3,1023.5
SB089,UNZA,2017,1,709.375
SB089,UNZA,2017,2,713.9166667
SB089,UNZA,2017,3,711.6666667
SB090,UNZA,2017,1,1830.5
SB090,UNZA,2017,2,1220.291667
SB090,UNZA,2017,3,1525.416667
SB091,UNZA,2017,1,760.75
SB091,UNZA,2017,2,1047.541667
SB091,UNZA,2017,3,904.1666667
SB092,UNZA,2017,1,1110
SB092,UNZA,2017,2,1348.291667
SB092,UNZA,2017,3,1229.166667
SB093,UNZA,2017,1,1094.125
SB093,UNZA,2017,2,2113
SB093,UNZA,2017,3,1603.583333
SB094,UNZA,2017,1,1194.958333
SB094,UNZA,2017,2,1546.5
SB094,UNZA,2017,3,1370.75
SB095,UNZA,2017,1,684.4166667
SB095,UNZA,2017,2,1987.583333
SB095,UNZA,2017,3,1336
SB097,UNZA,2017,1,928.9166667
SB097,UNZA,2017,2,1181.583333
SB097,UNZA,2017,3,1055.25
SB098,UNZA,2017,1,823.5833333
SB098,UNZA,2017,2,1367.041667
SB098,UNZA,2017,3,1095.333333
SB099,UNZA,2017,1,1040.708333
SB099,UNZA,2017,2,1402.333333
SB099,UNZA,2017,3,1221.541667
SB100,UNZA,2017,1,601.125
SB100,UNZA,2017,2,805.125
SB100,UNZA,2017,3,703.125
SB101,UNZA,2017,1,1079.625
SB101,UNZA,2017,2,1428.083333
SB101,UNZA,2017,3,1253.875
SB102,UNZA,2017,1,968.3333333
SB102,UNZA,2017,2,1113
SB102,UNZA,2017,3,1040.666667
SB103,UNZA,2017,1,417.0833333
SB103,UNZA,2017,2,889.0833333
SB103,UNZA,2017,3,653.0833333
SB104,UNZA,2017,1,1443.75
SB104,UNZA,2017,2,1973.083333
SB104,UNZA,2017,3,1708.416667
SB105,UNZA,2017,1,1511.166667
SB105,UNZA,2017,2,2107.041667
SB105,UNZA,2017,3,1809.125
SB106,UNZA,2017,1,1336
SB106,UNZA,2017,2,1806.958333
SB106,UNZA,2017,3,1571.5
SB107,UNZA,2017,1,1048.166667
SB107,UNZA,2017,2,1394.458333
SB107,UNZA,2017,3,1221.333333
SB108,UNZA,2017,1,418.4583333
SB108,UNZA,2017,2,917.7083333
SB108,UNZA,2017,3,668.0833333
SB109,UNZA,2017,1,1576.416667
SB109,UNZA,2017,2,375.5833333
SB109,UNZA,2017,3,976
SB110,UNZA,2017,1,364.8333333
SB110,UNZA,2017,2,1070.5
SB110,UNZA,2017,3,717.6666667
SB111,UNZA,2017,1,568.3333333
SB111,UNZA,2017,2,1100.291667
SB111,UNZA,2017,3,834.3333333
SB112,UNZA,2017,1,589.375
SB112,UNZA,2017,2,1084.25
SB112,UNZA,2017,3,836.8333333
SB113,UNZA,2017,1,1939.25
SB113,UNZA,2017,2,2017.458333
SB113,UNZA,2017,3,1978.375
SB114,UNZA,2017,1,800.25
SB114,UNZA,2017,2,1799.916667
SB114,UNZA,2017,3,1300.083333
SB115,UNZA,2017,1,1038.5
SB115,UNZA,2017,2,1615.875
SB115,UNZA,2017,3,1327.208333
SB117,UNZA,2017,1,675.625
SB117,UNZA,2017,2,1839.416667
SB117,UNZA,2017,3,1257.541667
SB119,UNZA,2017,1,638.9583333
SB119,UNZA,2017,2,1389.875
SB119,UNZA,2017,3,1014.416667
SB120,UNZA,2017,1,1118.166667
SB120,UNZA,2017,2,2063.333333
SB120,UNZA,2017,3,1590.75
SB121,UNZA,2017,1,2224.666667
SB121,UNZA,2017,2,2224.666667
SB121,UNZA,2017,3,2224.666667
SB123,UNZA,2017,1,800.1666667
SB123,UNZA,2017,2,2143.583333
SB123,UNZA,2017,3,1471.875
SB124,UNZA,2017,1,1061.541667
SB124,UNZA,2017,2,1664.458333
SB124,UNZA,2017,3,1363
SB125,UNZA,2017,1,1051.291667
SB125,UNZA,2017,2,902.6666667
SB125,UNZA,2017,3,977
SB127,UNZA,2017,1,1453.666667
SB127,UNZA,2017,2,1009.708333
SB127,UNZA,2017,3,1231.708333
SB128,UNZA,2017,1,1044.916667
SB128,UNZA,2017,2,1959.5
SB128,UNZA,2017,3,1502.208333
SB130,UNZA,2017,1,1006.416667
SB130,UNZA,2017,2,1863.125
SB130,UNZA,2017,3,1434.791667
SB131,UNZA,2017,1,715.8333333
SB131,UNZA,2017,2,2063.666667
SB131,UNZA,2017,3,1389.75
SB132,UNZA,2017,1,1108.166667
SB132,UNZA,2017,2,639.125
SB132,UNZA,2017,3,873.6666667
SB135,UNZA,2017,1,785.2916667
SB135,UNZA,2017,2,785.2916667
SB135,UNZA,2017,3,785.2916667
SB136,UNZA,2017,1,1528.625
SB136,UNZA,2017,2,1181.791667
SB136,UNZA,2017,3,1355.208333
SB138,UNZA,2017,1,548.5833333
SB138,UNZA,2017,2,979.875
SB138,UNZA,2017,3,764.25
SB140,UNZA,2017,1,1254.125
SB140,UNZA,2017,2,2067
SB140,UNZA,2017,3,1660.583333
SB141,UNZA,2017,1,729.3333333
SB141,UNZA,2017,2,2463.166667
SB141,UNZA,2017,3,1596.25
SB142,UNZA,2017,1,1664.083333
SB142,UNZA,2017,2,2130.625
SB142,UNZA,2017,3,1897.375
SB143,UNZA,2017,1,2074.625
SB143,UNZA,2017,2,1335.125
SB143,UNZA,2017,3,1704.875
SB144,UNZA,2017,1,724.6666667
SB144,UNZA,2017,2,1360.333333
SB144,UNZA,2017,3,1042.5
SB145,UNZA,2017,1,1033.083333
SB145,UNZA,2017,2,1391.75
SB145,UNZA,2017,3,1212.416667
SB146,UNZA,2017,1,1421.958333
SB146,UNZA,2017,2,916.4166667
SB146,UNZA,2017,3,1169.208333
SB147,UNZA,2017,1,757
SB147,UNZA,2017,2,570.9583333
SB147,UNZA,2017,3,664
SB148,UNZA,2017,1,1213.041667
SB148,UNZA,2017,2,1213.041667
SB148,UNZA,2017,3,1213.041667
SB149,UNZA,2017,1,646.25
SB149,UNZA,2017,2,646.25
SB149,UNZA,2017,3,646.25
SB150,UNZA,2017,1,1729.708333
SB150,UNZA,2017,2,1318.75
SB150,UNZA,2017,3,1524.25
SB151,UNZA,2017,1,672.875
SB151,UNZA,2017,2,672.875
SB151,UNZA,2017,3,672.875
SB153,UNZA,2017,1,84
SB153,UNZA,2017,2,329.4166667
SB153,UNZA,2017,3,206.7083333
SB154,UNZA,2017,1,1022.333333
SB154,UNZA,2017,2,583.5416667
SB154,UNZA,2017,3,802.9583333
SB156,UNZA,2017,1,1342.75
SB156,UNZA,2017,2,1248.791667
